"","V1"
"p13_11","flag for age at death"
"p13_12","flag for age at death"
"p13_13","flag for age at death"
"p13_14","flag for age at death"
"p13_15","flag for age at death"
"p13_16","flag for age at death"
"p13_17","flag for age at death"
"p13_18","flag for age at death"
"p13_19","flag for age at death"
"p13_20","flag for age at death"
"p15_01","other pregnancies between pregnancies"
"p15_02","other pregnancies between pregnancies"
"p15_03","other pregnancies between pregnancies"
"p15_04","other pregnancies between pregnancies"
"p15_05","other pregnancies between pregnancies"
"p15_06","other pregnancies between pregnancies"
"p15_07","other pregnancies between pregnancies"
"p15_08","other pregnancies between pregnancies"
"p15_09","other pregnancies between pregnancies"
"p15_10","other pregnancies between pregnancies"
"p15_11","other pregnancies between pregnancies"
"p15_12","other pregnancies between pregnancies"
"p15_13","other pregnancies between pregnancies"
"p15_14","other pregnancies between pregnancies"
"p15_15","other pregnancies between pregnancies"
"p15_16","other pregnancies between pregnancies"
"p15_17","other pregnancies between pregnancies"
"p15_18","other pregnancies between pregnancies"
"p15_19","other pregnancies between pregnancies"
"p15_20","other pregnancies between pregnancies"
"p16_01","child's line number in household"
"p16_02","child's line number in household"
"p16_03","child's line number in household"
"p16_04","child's line number in household"
"p16_05","child's line number in household"
"p16_06","child's line number in household"
"p16_07","child's line number in household"
"p16_08","child's line number in household"
"p16_09","child's line number in household"
"p16_10","child's line number in household"
"p16_11","child's line number in household"
"p16_12","child's line number in household"
"p16_13","child's line number in household"
"p16_14","child's line number in household"
"p16_15","child's line number in household"
"p16_16","child's line number in household"
"p16_17","child's line number in household"
"p16_18","child's line number in household"
"p16_19","child's line number in household"
"p16_20","child's line number in household"
"p17_01","day of pregnancy outcome"
"p17_02","day of pregnancy outcome"
"p17_03","day of pregnancy outcome"
"p17_04","day of pregnancy outcome"
"p17_05","day of pregnancy outcome"
"p17_06","day of pregnancy outcome"
"p17_07","day of pregnancy outcome"
"p17_08","day of pregnancy outcome"
"p17_09","day of pregnancy outcome"
"p17_10","day of pregnancy outcome"
"p17_11","day of pregnancy outcome"
"p17_12","day of pregnancy outcome"
"p17_13","day of pregnancy outcome"
"p17_14","day of pregnancy outcome"
"p17_15","day of pregnancy outcome"
"p17_16","day of pregnancy outcome"
"p17_17","day of pregnancy outcome"
"p17_18","day of pregnancy outcome"
"p17_19","day of pregnancy outcome"
"p17_20","day of pregnancy outcome"
"p18_01","century day code of end of pregnancy (cdc)"
"p18_02","century day code of end of pregnancy (cdc)"
"p18_03","century day code of end of pregnancy (cdc)"
"p18_04","century day code of end of pregnancy (cdc)"
"p18_05","century day code of end of pregnancy (cdc)"
"p18_06","century day code of end of pregnancy (cdc)"
"p18_07","century day code of end of pregnancy (cdc)"
"p18_08","century day code of end of pregnancy (cdc)"
"p18_09","century day code of end of pregnancy (cdc)"
"p18_10","century day code of end of pregnancy (cdc)"
"p18_11","century day code of end of pregnancy (cdc)"
"p18_12","century day code of end of pregnancy (cdc)"
"p18_13","century day code of end of pregnancy (cdc)"
"p18_14","century day code of end of pregnancy (cdc)"
"p18_15","century day code of end of pregnancy (cdc)"
"p18_16","century day code of end of pregnancy (cdc)"
"p18_17","century day code of end of pregnancy (cdc)"
"p18_18","century day code of end of pregnancy (cdc)"
"p18_19","century day code of end of pregnancy (cdc)"
"p18_20","century day code of end of pregnancy (cdc)"
"p19_01","months since pregnancy outcome"
"p19_02","months since pregnancy outcome"
"p19_03","months since pregnancy outcome"
"p19_04","months since pregnancy outcome"
"p19_05","months since pregnancy outcome"
"p19_06","months since pregnancy outcome"
"p19_07","months since pregnancy outcome"
"p19_08","months since pregnancy outcome"
"p19_09","months since pregnancy outcome"
"p19_10","months since pregnancy outcome"
"p19_11","months since pregnancy outcome"
"p19_12","months since pregnancy outcome"
"p19_13","months since pregnancy outcome"
"p19_14","months since pregnancy outcome"
"p19_15","months since pregnancy outcome"
"p19_16","months since pregnancy outcome"
"p19_17","months since pregnancy outcome"
"p19_18","months since pregnancy outcome"
"p19_19","months since pregnancy outcome"
"p19_20","months since pregnancy outcome"
"p20_01","duration of pregnancy in months"
"p20_02","duration of pregnancy in months"
"p20_03","duration of pregnancy in months"
"p20_04","duration of pregnancy in months"
"p20_05","duration of pregnancy in months"
"p20_06","duration of pregnancy in months"
"p20_07","duration of pregnancy in months"
"p20_08","duration of pregnancy in months"
"p20_09","duration of pregnancy in months"
"p20_10","duration of pregnancy in months"
"p20_11","duration of pregnancy in months"
"p20_12","duration of pregnancy in months"
"p20_13","duration of pregnancy in months"
"p20_14","duration of pregnancy in months"
"p20_15","duration of pregnancy in months"
"p20_16","duration of pregnancy in months"
"p20_17","duration of pregnancy in months"
"p20_18","duration of pregnancy in months"
"p20_19","duration of pregnancy in months"
"p20_20","duration of pregnancy in months"
"p21_01","duration of pregnancy"
"p21_02","duration of pregnancy"
"p21_03","duration of pregnancy"
"p21_04","duration of pregnancy"
"p21_05","duration of pregnancy"
"p21_06","duration of pregnancy"
"p21_07","duration of pregnancy"
"p21_08","duration of pregnancy"
"p21_09","duration of pregnancy"
"p21_10","duration of pregnancy"
"p21_11","duration of pregnancy"
"p21_12","duration of pregnancy"
"p21_13","duration of pregnancy"
"p21_14","duration of pregnancy"
"p21_15","duration of pregnancy"
"p21_16","duration of pregnancy"
"p21_17","duration of pregnancy"
"p21_18","duration of pregnancy"
"p21_19","duration of pregnancy"
"p21_20","duration of pregnancy"
"p30_01","pregnancy outcome declared by respondent"
"p30_02","pregnancy outcome declared by respondent"
"p30_03","pregnancy outcome declared by respondent"
"p30_04","pregnancy outcome declared by respondent"
"p30_05","pregnancy outcome declared by respondent"
"p30_06","pregnancy outcome declared by respondent"
"p30_07","pregnancy outcome declared by respondent"
"p30_08","pregnancy outcome declared by respondent"
"p30_09","pregnancy outcome declared by respondent"
"p30_10","pregnancy outcome declared by respondent"
"p30_11","pregnancy outcome declared by respondent"
"p30_12","pregnancy outcome declared by respondent"
"p30_13","pregnancy outcome declared by respondent"
"p30_14","pregnancy outcome declared by respondent"
"p30_15","pregnancy outcome declared by respondent"
"p30_16","pregnancy outcome declared by respondent"
"p30_17","pregnancy outcome declared by respondent"
"p30_18","pregnancy outcome declared by respondent"
"p30_19","pregnancy outcome declared by respondent"
"p30_20","pregnancy outcome declared by respondent"
"p31_01","baby cried, moved or breathed"
"p31_02","baby cried, moved or breathed"
"p31_03","baby cried, moved or breathed"
"p31_04","baby cried, moved or breathed"
"p31_05","baby cried, moved or breathed"
"p31_06","baby cried, moved or breathed"
"p31_07","baby cried, moved or breathed"
"p31_08","baby cried, moved or breathed"
"p31_09","baby cried, moved or breathed"
"p31_10","baby cried, moved or breathed"
"p31_11","baby cried, moved or breathed"
"p31_12","baby cried, moved or breathed"
"p31_13","baby cried, moved or breathed"
"p31_14","baby cried, moved or breathed"
"p31_15","baby cried, moved or breathed"
"p31_16","baby cried, moved or breathed"
"p31_17","baby cried, moved or breathed"
"p31_18","baby cried, moved or breathed"
"p31_19","baby cried, moved or breathed"
"p31_20","baby cried, moved or breathed"
"p32_01","pregnancy outcome reclassified"
"p32_02","pregnancy outcome reclassified"
"p32_03","pregnancy outcome reclassified"
"p32_04","pregnancy outcome reclassified"
"p32_05","pregnancy outcome reclassified"
"p32_06","pregnancy outcome reclassified"
"p32_07","pregnancy outcome reclassified"
"p32_08","pregnancy outcome reclassified"
"p32_09","pregnancy outcome reclassified"
"p32_10","pregnancy outcome reclassified"
"p32_11","pregnancy outcome reclassified"
"p32_12","pregnancy outcome reclassified"
"p32_13","pregnancy outcome reclassified"
"p32_14","pregnancy outcome reclassified"
"p32_15","pregnancy outcome reclassified"
"p32_16","pregnancy outcome reclassified"
"p32_17","pregnancy outcome reclassified"
"p32_18","pregnancy outcome reclassified"
"p32_19","pregnancy outcome reclassified"
"p32_20","pregnancy outcome reclassified"
"v201","total children ever born"
"v202","sons at home"
"v203","daughters at home"
"v204","sons elsewhere"
"v205","daughters elsewhere"
"v206","sons who have died"
"v207","daughters who have died"
"v208","births in last five years"
"v209","births in past year"
"v210","births in month of interview"
"v211","date of first birth (cmc)"
"v212","age of respondent at 1st birth"
"v213","currently pregnant"
"v214","duration of current pregnancy in months"
"v214a","duration of current pregnancy original"
"v215","time since last menstrual period"
"v216","menstruated in last six weeks"
"v217","knowledge of ovulatory cycle"
"v218","number of living children"
"v219","living children + current pregnancy"
"v220","living children + current pregnancy (grouped)"
"v221","marriage to first birth interval (months)"
"v222","last birth to interview (months)"
"v223","completeness of current pregnancy information"
"v224","entries in birth history"
"v225","current pregnancy wanted"
"v226","time since last period (comp) (months)"
"v227","flag for last period"
"v228","ever had a terminated pregnancy"
"v229","month pregnancy ended"
"v230","year pregnancy ended"
"v231","cmc pregnancy ended"
"v232","completeness of last termination information"
"v233","months when pregnancy ended"
"v234","other such pregnancies"
"v235","index last child prior to maternity-health (calendar)"
"v237","birth between last and interview"
"v238","births in last three years"
"v239","pregnancies terminated before calendar beginning"
"v240","month of last termination prior to calendar"
"v241","year of last termination prior to calendar"
"v242","cmc termination ended prior to calendar"
"v243","completeness of last termination date prior to calendar"
